19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,20,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,21,20,20,20,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,22,21,21,20,20,20,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,22,22,22,21,21,21,20,20,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23,23,23,22,22,22,21,21,21,20,20,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,24,23,23,23,22,22,22,21,21,21,20,20,20,19,,,,,,,,,,,,,,,,,,,,,,,,
25,25,24,24,24,23,23,23,22,22,22,21,21,21,20,20,20,19,19,,,,,,,,,,,,,,,,,,,,,
26,26,25,25,24,24,24,23,23,23,22,22,22,21,21,21,20,20,20,19,19,,,,,,,,,,,,,,,,,,,
27,26,26,26,25,25,24,24,24,23,23,23,22,22,22,21,21,21,21,20,20,20,19,,,,,,,,,,,,,,,,,
27,27,27,26,26,26,25,25,25,24,24,23,23,23,23,22,22,22,21,21,21,20,20,20,19,19,,,,,,,,,,,,,,
28,28,27,27,27,26,26,26,25,25,25,24,24,24,23,23,23,22,22,22,21,21,21,20,20,20,19,19,,,,,,,,,,,,
29,28,28,28,27,27,27,26,26,26,25,25,25,24,24,24,23,23,23,22,22,22,21,21,21,20,20,20,20,19,,,,,,,,,,
29,29,29,28,28,28,27,27,27,26,26,26,25,25,25,24,24,24,23,23,23,22,22,22,21,21,21,21,20,20,20,19,19,,,,,,,
30,30,29,29,29,28,28,28,27,27,27,26,26,26,25,25,25,24,24,24,23,23,23,22,22,22,22,21,21,21,20,20,20,19,19,,,,,
31,30,30,30,29,29,29,28,28,28,27,27,27,26,26,26,25,25,25,24,24,24,23,23,23,22,22,22,22,21,21,21,20,20,20,20,19,19,,
31,31,31,30,30,30,29,29,29,28,28,28,27,27,27,26,26,26,25,25,25,24,24,24,23,23,23,23,22,22,22,21,21,21,21,20,20,20,19,19
32,32,31,31,31,30,30,30,29,29,29,28,28,28,27,27,27,26,26,26,25,25,25,24,24,24,24,23,23,23,22,22,22,21,21,21,21,20,20,20
33,32,32,32,31,31,31,30,31,30,29,29,29,28,28,28,27,27,27,26,26,26,25,25,25,24,24,24,24,23,23,23,22,22,22,22,21,21,21,20
33,33,33,32,32,32,31,31,31,30,31,30,29,29,29,28,28,28,27,27,27,26,26,26,25,25,25,25,24,24,24,23,23,23,22,22,22,22,21,21
34,34,33,33,33,32,32,32,31,31,31,30,30,30,29,29,29,28,28,28,27,27,27,26,26,26,25,25,25,25,24,24,24,23,23,23,23,22,22,22
35,34,34,34,33,33,33,32,32,31,31,31,30,30,30,30,29,29,29,28,28,28,27,27,27,26,26,26,25,25,25,25,24,24,24,23,23,23,23,22
35,35,35,34,34,34,33,33,32,32,32,31,31,31,30,30,30,29,29,29,29,28,28,28,27,27,27,26,26,26,26,25,25,25,24,24,24,24,23,23
36,36,35,35,34,34,34,33,33,33,32,32,32,31,31,31,30,30,30,29,29,29,29,28,28,28,27,27,27,26,26,26,26,25,25,25,24,24,24,24
